iter	Logloss
0	0.6870623065
1	0.6810442302
2	0.6749340134
3	0.6695027902
4	0.6641787168
5	0.6580827792
6	0.6526257825
7	0.64689603
8	0.6413074203
9	0.6360134164
10	0.6317658825
11	0.626665866
12	0.6218255923
13	0.6172984816
14	0.6127999431
15	0.608256455
16	0.6037182226
17	0.5993598683
18	0.5949476543
19	0.5908677803
20	0.5882302524
21	0.5842874496
22	0.5803659189
23	0.5766150071
24	0.5732957704
25	0.5701095728
26	0.5666140033
27	0.5632940071
28	0.5599876947
29	0.5562409966
30	0.5531665038
31	0.5501399263
32	0.5471113033
33	0.5443134903
34	0.5413722627
35	0.5381993402
36	0.5354085871
37	0.5326380159
38	0.5300853679
39	0.5274833263
40	0.5251581789
41	0.5226703189
42	0.5203801474
43	0.5180626441
44	0.515696284
45	0.5137157482
46	0.511642096
47	0.5096465549
48	0.5082977913
49	0.5061854941
50	0.5043986593
51	0.5022387861
52	0.5002231143
53	0.4986614897
54	0.4968254701
55	0.4949159762
56	0.4929097987
57	0.4911485976
58	0.4894583014
59	0.4879007075
60	0.4862445083
61	0.4844034235
62	0.4828407069
63	0.4811791312
64	0.479724159
65	0.4783540839
66	0.4768131231
67	0.4753257277
68	0.4739509851
69	0.4723858237
70	0.4709676752
71	0.4695495117
72	0.4682762034
73	0.4668761526
74	0.4655028053
75	0.4642873345
76	0.4631221639
77	0.4615245891
78	0.4604566405
79	0.4592915366
80	0.4581580518
81	0.4570394626
82	0.4559880375
83	0.4549481948
84	0.453947068
85	0.452884755
86	0.4517922189
87	0.4507776057
88	0.4499191937
89	0.448880066
90	0.4479099047
91	0.4467708793
92	0.4456319436
93	0.4445797583
94	0.4435598365
95	0.4426684565
96	0.4417844185
97	0.4409277882
98	0.4401205912
99	0.439382428
100	0.4384975099
101	0.4377413128
102	0.4369492024
103	0.4360757977
104	0.4354405489
105	0.434583924
106	0.4338277942
107	0.4330674854
108	0.4323095251
109	0.4315164937
110	0.4306881362
111	0.4299399569
112	0.4292295584
113	0.4286682988
114	0.4280819474
115	0.4273473641
116	0.4267661492
117	0.4261066861
118	0.4255051568
119	0.4248907519
120	0.4242809049
121	0.4237300874
122	0.4230756802
123	0.4223954904
124	0.4217698515
125	0.4211950358
126	0.4207435977
127	0.4201962776
128	0.4196602703
129	0.4190929795
130	0.4184196799
131	0.4178371091
132	0.4173213116
133	0.4168642423
134	0.4163028157
135	0.4158233802
136	0.4153396012
137	0.414866109
138	0.4143740444
139	0.4136106969
140	0.4130013407
141	0.4126235231
142	0.4121802622
143	0.4116923825
144	0.4112252892
145	0.4106414909
146	0.4101345823
147	0.4096895556
148	0.4092360185
149	0.4087822915
150	0.408298261
151	0.4078838828
152	0.4074177099
153	0.4070001155
154	0.4065943882
155	0.4061388335
156	0.4056980768
157	0.4052326011
158	0.4048117436
159	0.4044687459
160	0.4040397385
161	0.403637328
162	0.4032243102
163	0.4027330695
164	0.4022875908
165	0.4022117919
166	0.4019516525
167	0.4015466066
168	0.401161584
169	0.4008151207
170	0.4004992574
171	0.4000739218
172	0.3997500268
173	0.3993502504
174	0.3989595994
175	0.3986568533
176	0.3983260721
177	0.3979577689
178	0.3976028968
179	0.397306186
180	0.3969494607
181	0.3965030569
182	0.3961894241
183	0.3959715079
184	0.395543788
185	0.3952130999
186	0.394905019
187	0.3945539361
188	0.394176287
189	0.3938086724
190	0.3935480144
191	0.3932510118
192	0.3929671723
193	0.3926681432
194	0.3923337048
195	0.3920423259
196	0.3917802223
197	0.3915734259
198	0.3913375014
199	0.3911324176
