iter	Passed	Remaining
0	66	13204
1	69	6890
2	72	4769
3	76	3732
4	78	3072
5	82	2671
6	86	2376
7	89	2150
8	93	1987
9	98	1868
10	100	1730
11	104	1632
12	107	1552
13	111	1475
14	114	1415
15	118	1363
16	121	1312
17	125	1268
18	130	1240
19	133	1201
20	135	1152
21	138	1121
22	142	1093
23	146	1075
24	150	1055
25	153	1027
26	156	1005
27	161	993
28	165	973
29	168	956
30	172	938
31	175	921
32	179	910
33	183	894
34	186	878
35	189	862
36	192	847
37	195	834
38	198	820
39	202	809
40	205	797
41	208	785
42	212	774
43	215	762
44	218	752
45	221	742
46	225	732
47	228	722
48	230	710
49	233	701
50	237	693
51	240	685
52	244	677
53	247	668
54	250	660
55	254	653
56	258	647
57	261	639
58	265	634
59	268	626
60	271	619
61	275	612
62	278	605
63	281	598
64	284	591
65	288	586
66	292	580
67	295	573
68	298	566
69	301	559
70	304	553
71	308	548
72	312	542
73	315	537
74	318	531
75	322	525
76	326	521
77	330	516
78	333	510
79	337	505
80	340	499
81	343	494
82	346	488
83	349	483
84	353	478
85	356	472
86	359	467
87	363	462
88	366	457
89	370	452
90	373	446
91	376	441
92	379	437
93	383	432
94	387	427
95	390	423
96	394	419
97	397	414
98	401	409
99	404	404
100	408	399
101	411	395
102	415	390
103	418	386
104	422	382
105	425	377
106	429	372
107	432	368
108	436	364
109	440	360
110	443	355
111	446	350
112	449	346
113	452	341
114	456	337
115	459	333
116	463	328
117	467	324
118	470	320
119	474	316
120	477	311
121	480	306
122	483	302
123	486	298
124	490	294
125	493	289
126	497	285
127	500	281
128	504	277
129	508	273
130	511	269
131	515	265
132	518	261
133	521	257
134	524	252
135	528	248
136	531	244
137	535	240
138	538	236
139	541	232
140	545	228
141	548	224
142	551	219
143	555	215
144	558	211
145	561	207
146	565	203
147	568	199
148	571	195
149	575	191
150	578	187
151	582	184
152	586	180
153	589	175
154	592	171
155	596	168
156	599	164
157	603	160
158	606	156
159	609	152
160	613	148
161	616	144
162	619	140
163	622	136
164	626	132
165	628	128
166	632	124
167	635	121
168	639	117
169	642	113
170	646	109
171	649	105
172	652	101
173	655	97
174	658	94
175	662	90
176	665	86
177	668	82
178	672	78
179	675	75
180	678	71
181	683	67
182	687	63
183	690	60
184	693	56
185	696	52
186	700	48
187	704	44
188	707	41
189	711	37
190	714	33
191	717	29
192	721	26
193	724	22
194	727	18
195	731	14
196	734	11
197	737	7
198	741	3
199	744	0
